"","trip_distance","type","month","velocity","date","awnd","prcp","snwd","tmax","tmin","tsun"
"736",1770.2784,"taxi","02",3.96035436241611,2021-02-16,35,208,150,106,11,NA
"737",595.45728,"taxi","10",6.76656,2020-10-27,13,0,0,150,111,NA
"738",3187.43861247764,"bike","06",1.81001624785783,2020-06-13,NA,0,0,239,150,NA
"739",1657.15008644273,"bike","12",2.27630506379496,2020-12-15,34,0,0,39,-10,NA
"740",1720.42451354337,"bike","05",3.74005329031167,2021-05-06,26,0,0,189,100,NA
"741",3057.7536,"taxi","02",4.21178181818182,2021-02-24,29,0,50,122,39,NA
"742",1931.2128,"taxi","12",3.59629944134078,2020-12-09,29,13,0,33,-5,NA
"743",8851.392,"taxi","11",7.12099115044248,2020-11-07,16,0,0,233,133,NA
"744",1944.93320229446,"bike","09",3.88210220018855,2020-09-10,12,305,0,278,228,NA
"745",1462.60526982524,"bike","01",5.73570694049113,2021-01-24,45,0,0,0,-55,0
"746",5251.36762626597,"bike","09",1.9801537052285,2020-09-12,24,0,0,233,161,NA
"747",4415.11212699556,"bike","07",6.28038709387704,2020-07-13,18,5,0,300,211,NA
"748",1456.8090313268,"bike","02",3.10620262543027,2021-02-19,31,36,130,6,-21,NA
"749",1274.89780925678,"bike","10",2.03332983932501,2020-10-01,17,0,0,222,156,NA
"750",1190.91456,"taxi","09",7.68331974193548,2020-09-26,13,0,0,233,183,NA
"751",7478.41606042992,"bike","09",3.52256997665093,2020-09-12,24,0,0,233,161,NA
"752",2917.46588856368,"bike","12",4.3414670960769,2020-12-12,17,0,0,144,78,NA
"753",2154.91711965601,"bike","03",1.88862148961964,2021-03-25,16,3,0,200,94,NA
"754",1882.93248,"taxi","05",4.94208,2021-05-26,19,18,0,300,183,NA
"755",4506.1632,"taxi","05",3.8946959377701,2021-05-27,22,5,0,272,183,NA
"756",5246.46144,"taxi","01",4.85783466666667,2021-01-30,34,0,0,0,-82,NA
"757",2882.3763599813,"bike","09",3.74821373209532,2020-09-25,9,0,0,250,167,NA
"758",1479.18647903946,"bike","05",1.2065142569653,2021-05-02,32,0,0,278,133,NA
"759",526.609665494702,"bike","04",3.00919808854116,2021-04-14,13,0,0,222,89,NA
"760",1878.82034325495,"bike","03",3.44737677661459,2021-03-14,49,0,0,122,-5,NA
"761",1360.02226852681,"bike","07",4.26339269130662,2020-07-22,13,361,0,333,222,NA
"762",6920.1792,"taxi","04",6.01754713043478,2021-04-16,30,10,0,117,50,NA
"763",6115.5072,"taxi","10",9.35092844036697,2020-10-18,17,0,0,167,78,NA
"764",681.060167486499,"bike","09",3.18252414713317,2020-09-24,12,0,0,239,167,NA
"765",6554.05812001441,"bike","11",3.31180299141708,2020-11-25,17,0,0,133,72,NA
"766",4136.01408,"taxi","02",6.462522,2021-02-19,31,36,130,6,-21,NA
"767",715.275772390624,"bike","10",2.45799234498496,2020-10-18,17,0,0,167,78,NA
"768",683.261770001245,"bike","07",3.17796172093602,2020-07-21,8,0,0,328,250,NA
"769",6276.4416,"taxi","02",4.31964322092223,2021-02-05,22,18,230,83,28,NA
"770",3781.9584,"taxi","04",6.04146709265176,2021-04-07,13,0,0,222,106,NA
"771",1287.4752,"taxi","03",3.36155404699739,2021-03-26,36,48,0,278,111,NA
"772",2253.0816,"taxi","03",3.25589826589595,2021-03-25,16,3,0,200,94,NA
"773",2864.63232,"taxi","10",2.92608,2020-10-30,34,163,0,83,28,NA
"774",2727.57270271852,"bike","05",6.10195235507499,2021-05-09,20,119,0,183,78,NA
"775",818.249312578111,"bike","02",3.89642529799101,2021-02-17,32,0,80,11,-55,NA
"776",4023.36,"taxi","10",6.2865,2020-10-16,20,345,0,189,83,NA
"777",1955.41727736169,"bike","08",4.52642888278169,2020-08-24,14,0,0,322,239,NA
"778",3353.46356746422,"bike","02",3.62145093678642,2021-02-18,35,114,50,-10,-43,NA
"779",7242.048,"taxi","04",5.34074336283186,2021-04-15,22,211,0,144,72,NA
"780",3266.96832,"taxi","11",4.63399761702128,2020-11-29,10,0,0,122,50,NA
"781",5177.95475713843,"bike","03",3.28759032199266,2021-03-13,36,0,0,111,6,NA
"782",3787.16767406354,"bike","05",5.06305838778549,2021-05-23,32,0,0,311,200,NA
"783",1947.30624,"taxi","05",5.56373211428572,2021-05-01,38,0,0,183,56,NA
"784",1203.39379579274,"bike","10",3.22625682518162,2020-10-10,27,0,0,217,144,NA
"785",1163.99416464458,"bike","06",2.94682066998627,2020-06-10,NA,0,0,294,211,NA
"786",2655.4176,"taxi","10",5.33216385542169,2020-10-14,19,0,0,194,100,NA
"787",1609.344,"taxi","02",7.21678923766816,2021-02-07,28,99,150,44,-43,NA
"788",2084.57078018167,"bike","04",3.75598338771471,2021-04-20,19,0,0,244,117,NA
"789",2754.25065875216,"bike","05",2.025184307906,2021-05-24,26,0,0,200,150,NA
